"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"CATERPILLAR INDIA PRIVATE LIMITED","2","8","4","6","5","1","3","5","0","34"
"CHANDANA CORPORATION","0","0","1","1","0","0","0","0","0","2"
"CLASSIC LEGENDS PVT LTD","286","153","63","159","206","241","265","221","44","1638"
"CNH INDUSTRIAL (INDIA) PVT LTD","94","120","120","74","66","99","47","58","2","680"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","0","1","0","0","0","1"
"CONVENIENT MACHINES PVT LTD","0","0","0","0","1","0","0","0","1","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","54","0","0","54"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD.","110","65","75","97","86","69","24","69","0","595"
"DASMESH MECHANICAL WORKS PVT.LTD","49","56","123","68","54","36","19","6","0","411"
"DEEPTHI ENG WORKS","1","0","1","4","0","0","0","0","0","6"
"DIAMOND ENGG,CTC","0","0","1","0","0","0","0","0","0","1"
"DILLI ELECTRIC AUTO PVT LTD","0","0","1","0","0","1","0","0","0","2"
"DOOSAN BOBCAT INDIA PVT LTD","2","1","3","2","3","1","2","1","1","16"
"DUCATI INDIA PVT LTD","0","2","2","0","1","4","1","0","0","10"
"DYS IMPEX PVT LTD","1","0","0","0","1","1","0","0","0","3"
"E-SPRINTO GREEN ENERGY PVT LTD","0","0","0","46","234","0","0","0","0","280"
"EICHER TRACTORS","131","218","302","155","152","190","75","59","0","1282"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","69","80","104","73","52","72","30","41","0","521"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","1","0","0","33","8","1","43"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","20","15","13","19","29","34","27","20","1","178"
"ESCORTS LTD","0","0","0","0","0","0","18","0","0","18"
"EULER MOTORS PVT LTD","17","9","22","54","28","45","22","38","0","235"
"FERRARI SPA","0","0","1","0","0","0","0","0","0","1"
"FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD)","0","0","0","0","0","0","1","0","0","1"
"FORCE MOTORS LIMITED","62","87","88","81","59","94","106","75","0","652"
"FRIENDS ENGINEERING WORKS","1","2","1","0","0","0","0","0","0","4"
"GAHIR AGRICULTURE INDUSTRIES","1","0","1","0","0","0","0","0","0","2"
"GANESH ENGINEERING WORKS AP118063632","0","0","0","0","0","0","211","0","0","211"
"GANGA ENGINEERING WORKS","5","14","14","7","4","3","0","1","0","48"
"GODREJ & BOYCE MFG. CO. LTD","3","0","0","0","0","0","0","0","0","3"
"GOREEN E-MOBILITY PVT LTD","3","1","1","1","1","1","0","0","0","8"
"GOWITH GREEN E-VEHICLES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"GRAVTON MOTORS PVT LTD","42","7","3","4","7","24","2","5","3","97"
"GREAVES ELECTRIC MOBILITY LTD","77","35","10","119","184","157","220","166","50","1018"
"GROMAX AGRI EQUIPMENT LTD","16","14","22","14","8","11","5","10","0","100"
"GURUNANAK INDUSTRIES PVT LTD","2","4","7","0","4","4","2","1","0","24"
"HANUMAN AGRO INDUSTRIES","5","11","12","6","6","4","5","3","0","52"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","2","0","1","0","1","0","10","0","0","14"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","1","0","0","0","0","0","0","0","1"
